Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Customer ID
236670,Wired Headphones,2,11.99,08/31/19 22:21,"359 Spruce St, Seattle, WA 98101",163870
236671,Bose SoundSport Headphones,1,99.99,08/15/19 15:11,"492 Ridge St, Dallas, TX 75001",157880
236672,iPhone,1,700.0,08/06/19 14:40,"149 7th St, Portland, OR 97035",151674
236673,AA Batteries (4-pack),2,3.84,08/29/19 20:59,"631 2nd St, Los Angeles, CA 90001",242378
236674,AA Batteries (4-pack),2,3.84,08/15/19 19:53,"736 14th St, New York City, NY 10001",214723
236675,Wired Headphones,1,11.99,08/02/19 23:54,"470 Hill St, San Francisco, CA 94016",132797
236676,34in Ultrawide Monitor,1,379.99,08/04/19 19:52,"470 Cherry St, Los Angeles, CA 90001",160009
236677,20in Monitor,1,109.99,08/13/19 07:16,"918 6th St, San Francisco, CA 94016",189116
236678,Wired Headphones,1,11.99,08/25/19 20:11,"58 9th St, San Francisco, CA 94016",110760
236679,Macbook Pro Laptop,1,1700.0,08/07/19 15:43,"239 Spruce St, Los Angeles, CA 90001",198306
236680,LG Washing Machine,1,600.0,08/09/19 19:38,"967 Willow St, San Francisco, CA 94016",275626
236681,AA Batteries (4-pack),1,3.84,08/26/19 20:52,"295 1st St, Boston, MA 02215",250059
236682,AA Batteries (4-pack),1,3.84,08/19/19 12:40,"118 Johnson St, Portland, OR 97035",214370
236683,27in FHD Monitor,1,149.99,08/31/19 15:47,"196 West St, Dallas, TX 75001",108144
236684,Lightning Charging Cable,1,14.95,08/09/19 16:50,"669 12th St, New York City, NY 10001",199029
236685,Apple Airpods Headphones,1,150.0,08/23/19 19:29,"238 Highland St, Atlanta, GA 30301",189365
236686,AAA Batteries (4-pack),1,2.99,08/15/19 19:13,"766 Maple St, Dallas, TX 75001",183226
236687,USB-C Charging Cable,1,11.95,08/23/19 12:54,"668 Meadow St, New York City, NY 10001",270949
236688,34in Ultrawide Monitor,1,379.99,08/08/19 16:06,"821 7th St, Los Angeles, CA 90001",255614
236689,AAA Batteries (4-pack),1,2.99,08/21/19 10:55,"13 Cedar St, San Francisco, CA 94016",205140
236690,AAA Batteries (4-pack),1,2.99,08/08/19 12:00,"139 River St, San Francisco, CA 94016",116778
236691,USB-C Charging Cable,1,11.95,08/23/19 07:34,"916 Meadow St, Boston, MA 02215",152177
236692,USB-C Charging Cable,1,11.95,08/20/19 13:26,"567 Center St, San Francisco, CA 94016",122531
236693,27in 4K Gaming Monitor,1,389.99,08/12/19 21:57,"173 West St, Portland, OR 97035",232612
236694,Apple Airpods Headphones,1,150.0,08/14/19 23:45,"854 Sunset St, New York City, NY 10001",144449
236695,Bose SoundSport Headphones,1,99.99,08/04/19 19:06,"905 Pine St, San Francisco, CA 94016",147546
236696,Lightning Charging Cable,1,14.95,08/21/19 00:48,"530 Church St, New York City, NY 10001",165729
236697,AA Batteries (4-pack),1,3.84,08/25/19 23:13,"246 Willow St, San Francisco, CA 94016",225498
236698,Wired Headphones,1,11.99,08/07/19 13:40,"526 Chestnut St, Dallas, TX 75001",257972
236699,AA Batteries (4-pack),2,3.84,08/20/19 21:07,"763 Hill St, Atlanta, GA 30301",132284
236700,Wired Headphones,1,11.99,08/09/19 08:55,"534 North St, Los Angeles, CA 90001",221899
236701,Apple Airpods Headphones,1,150.0,08/06/19 10:36,"518 Main St, San Francisco, CA 94016",156617
