Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Customer ID
141234,iPhone,1,700,01/22/19 21:25,"944 Walnut St, Boston, MA 02215",17382
141235,Lightning Charging Cable,1,14.95,01/28/19 14:15,"185 Maple St, Portland, OR 97035",52119
141236,Wired Headphones,2,11.99,01/17/19 13:33,"538 Adams St, San Francisco, CA 94016",44364
141237,27in FHD Monitor,1,149.99,01/05/19 20:33,"738 10th St, Los Angeles, CA 90001",49587
141238,Wired Headphones,1,11.99,01/25/19 11:59,"387 10th St, Austin, TX 73301",85699
141239,AAA Batteries (4-pack),1,2.99,01/29/19 20:22,"775 Willow St, San Francisco, CA 94016",79569
141240,27in 4K Gaming Monitor,1,389.99,01/26/19 12:16,"979 Park St, Los Angeles, CA 90001",53754
141241,USB-C Charging Cable,1,11.95,01/05/19 12:04,"181 6th St, San Francisco, CA 94016",94416
141242,Bose SoundSport Headphones,1,99.99,01/01/19 10:30,"867 Willow St, Los Angeles, CA 90001",14224
141243,Apple Airpods Headphones,1,150,01/22/19 21:20,"657 Johnson St, San Francisco, CA 94016",64009
141244,Apple Airpods Headphones,1,150,01/07/19 11:29,"492 Walnut St, San Francisco, CA 94016",23409
141245,Macbook Pro Laptop,1,1700,01/31/19 10:12,"322 6th St, San Francisco, CA 94016",98825
141246,AAA Batteries (4-pack),3,2.99,01/09/19 18:57,"618 7th St, Los Angeles, CA 90001",76268
141247,27in FHD Monitor,1,149.99,01/25/19 19:19,"512 Wilson St, San Francisco, CA 94016",18195
141248,Flatscreen TV,1,300,01/03/19 21:54,"363 Spruce St, Austin, TX 73301",94380
141249,27in FHD Monitor,1,149.99,01/05/19 17:20,"440 Cedar St, Portland, OR 97035",71093
141250,Vareebadd Phone,1,400,01/10/19 11:20,"471 Center St, Los Angeles, CA 90001",83004
141251,Apple Airpods Headphones,1,150,01/24/19 08:13,"414 Walnut St, Boston, MA 02215",99424
141252,USB-C Charging Cable,1,11.95,01/30/19 09:28,"220 9th St, Los Angeles, CA 90001",52666
141253,AA Batteries (4-pack),1,3.84,01/17/19 00:09,"385 11th St, Atlanta, GA 30301",69845
141254,AAA Batteries (4-pack),1,2.99,01/08/19 11:51,"238 Sunset St, Seattle, WA 98101",51580
141255,USB-C Charging Cable,1,11.95,01/09/19 20:55,"764 11th St, Los Angeles, CA 90001",100340
141256,Google Phone,1,600,01/29/19 10:40,"675 Washington St, Portland, OR 97035",70381
141257,Apple Airpods Headphones,1,150,01/12/19 18:51,"338 Highland St, San Francisco, CA 94016",79421
141258,AA Batteries (4-pack),1,3.84,01/19/19 21:47,"820 1st St, San Francisco, CA 94016",36330
141259,AAA Batteries (4-pack),2,2.99,01/20/19 17:26,"920 Adams St, San Francisco, CA 94016",16600
141260,AAA Batteries (4-pack),1,2.99,01/01/19 22:00,"293 Hill St, San Francisco, CA 94016",26520
141261,USB-C Charging Cable,1,11.95,01/09/19 18:14,"840 Lincoln St, Atlanta, GA 30301",77915
141262,AAA Batteries (4-pack),1,2.99,01/16/19 12:35,"291 Lincoln St, San Francisco, CA 94016",78099
141263,Bose SoundSport Headphones,1,99.99,01/11/19 23:33,"640 Spruce St, Boston, MA 02215",55101
141264,Apple Airpods Headphones,1,150,01/03/19 09:46,"937 Highland St, New York City, NY 10001",42145
141265,Apple Airpods Headphones,1,150,01/01/19 16:52,"853 Ridge St, Boston, MA 02215",21070
141266,27in 4K Gaming Monitor,1,389.99,01/02/19 22:21,"834 4th St, Dallas, TX 75001",56815
141267,Apple Airpods Headphones,1,150,01/09/19 08:28,"649 Sunset St, Los Angeles, CA 90001",17597
141268,AA Batteries (4-pack),1,3.84,01/14/19 10:13,"611 Elm St, New York City, NY 10001",73596
141269,27in 4K Gaming Monitor,1,389.99,01/03/19 20:05,"812 Jefferson St, Los Angeles, CA 90001",18641
141270,Wired Headphones,1,11.99,01/27/19 23:10,"469 Hill St, San Francisco, CA 94016",82269
141271,USB-C Charging Cable,1,11.95,01/30/19 10:51,"90 13th St, Boston, MA 02215",14654
141272,AAA Batteries (4-pack),1,2.99,01/12/19 13:09,"818 Lincoln St, New York City, NY 10001",88220
141273,Wired Headphones,2,11.99,01/29/19 12:04,"994 13th St, Boston, MA 02215",35182
141274,USB-C Charging Cable,1,11.95,01/17/19 11:30,"8 Jackson St, Los Angeles, CA 90001",88851
141275,USB-C Charging Cable,1,11.95,01/07/19 16:06,"610 Walnut St, Austin, TX 73301",89267
