Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Customer ID
222910,Apple Airpods Headphones,1,150,07/26/19 16:51,"389 South St, Atlanta, GA 30301",178991
222911,Flatscreen TV,1,300,07/05/19 08:55,"590 4th St, Seattle, WA 98101",191423
222912,AA Batteries (4-pack),1,3.84,07/29/19 12:41,"861 Hill St, Atlanta, GA 30301",169972
222913,AA Batteries (4-pack),1,3.84,07/28/19 10:15,"190 Ridge St, Atlanta, GA 30301",265961
222914,AAA Batteries (4-pack),5,2.99,07/31/19 02:13,"824 Forest St, Seattle, WA 98101",124599
222915,Bose SoundSport Headphones,1,99.99,07/03/19 18:30,"899 Elm St, San Francisco, CA 94016",208778
222916,Google Phone,1,600,07/21/19 22:39,"745 Chestnut St, New York City, NY 10001",155914
222917,LG Dryer,1,600.0,07/17/19 13:44,"490 Adams St, New York City, NY 10001",103495
222918,USB-C Charging Cable,1,11.95,07/14/19 21:16,"207 1st St, Los Angeles, CA 90001",165894
222919,Lightning Charging Cable,1,14.95,07/14/19 13:24,"29 Jefferson St, Dallas, TX 75001",253817
222920,AA Batteries (4-pack),1,3.84,07/30/19 04:42,"590 6th St, San Francisco, CA 94016",294358
222921,Lightning Charging Cable,1,14.95,07/02/19 11:04,"960 Willow St, San Francisco, CA 94016",196016
222922,34in Ultrawide Monitor,1,379.99,07/20/19 21:12,"616 Chestnut St, Dallas, TX 75001",171962
222923,AAA Batteries (4-pack),1,2.99,07/05/19 12:16,"105 Johnson St, Los Angeles, CA 90001",169051
222924,Bose SoundSport Headphones,1,99.99,07/13/19 20:46,"444 Spruce St, San Francisco, CA 94016",261649
222925,Apple Airpods Headphones,1,150,07/09/19 02:59,"764 Adams St, San Francisco, CA 94016",288458
222926,Lightning Charging Cable,2,14.95,07/15/19 17:44,"577 Lakeview St, Los Angeles, CA 90001",223149
222927,Wired Headphones,1,11.99,07/31/19 20:34,"244 Washington St, Los Angeles, CA 90001",114480
222928,Google Phone,1,600,07/15/19 17:18,"524 Cherry St, San Francisco, CA 94016",112263
222929,Vareebadd Phone,1,400,07/04/19 19:46,"882 Hickory St, Boston, MA 02215",229099
222930,Lightning Charging Cable,1,14.95,07/20/19 20:57,"826 River St, San Francisco, CA 94016",265284
222931,USB-C Charging Cable,1,11.95,07/18/19 09:21,"145 Pine St, Boston, MA 02215",232757
222932,Wired Headphones,1,11.99,07/24/19 17:32,"386 Cedar St, Los Angeles, CA 90001",226165
222933,LG Dryer,1,600.0,07/30/19 13:20,"76 2nd St, Los Angeles, CA 90001",259368
222934,AA Batteries (4-pack),2,3.84,07/03/19 23:51,"437 River St, Seattle, WA 98101",221462
222935,AAA Batteries (4-pack),1,2.99,07/23/19 12:20,"118 9th St, San Francisco, CA 94016",118076
222936,27in FHD Monitor,1,149.99,07/04/19 12:29,"483 West St, Boston, MA 02215",258499
222937,Lightning Charging Cable,2,14.95,07/03/19 09:01,"538 North St, San Francisco, CA 94016",280171
222938,Flatscreen TV,1,300,07/20/19 17:49,"523 Hickory St, Dallas, TX 75001",166791
222939,Apple Airpods Headphones,1,150,07/17/19 21:53,"597 Madison St, Los Angeles, CA 90001",298184
222940,Wired Headphones,2,11.99,07/05/19 15:06,"779 Maple St, San Francisco, CA 94016",201549
222941,Apple Airpods Headphones,1,150,07/02/19 05:48,"631 Willow St, San Francisco, CA 94016",151807
222942,Lightning Charging Cable,1,14.95,07/07/19 10:00,"424 Church St, Portland, OR 97035",103624
222943,Lightning Charging Cable,1,14.95,07/20/19 23:39,"575 4th St, Seattle, WA 98101",152397
222944,27in FHD Monitor,1,149.99,07/07/19 22:52,"70 Meadow St, San Francisco, CA 94016",236828
222945,Wired Headphones,1,11.99,07/21/19 21:51,"191 Dogwood St, Los Angeles, CA 90001",265013
222946,20in Monitor,1,109.99,07/14/19 22:19,"49 Park St, New York City, NY 10001",282447
222947,ThinkPad Laptop,1,999.99,07/16/19 09:15,"612 Spruce St, New York City, NY 10001",222207
222948,USB-C Charging Cable,1,11.95,07/10/19 08:18,"631 12th St, San Francisco, CA 94016",228734
222949,USB-C Charging Cable,1,11.95,07/28/19 17:24,"902 Cedar St, Dallas, TX 75001",143405
222950,Lightning Charging Cable,1,14.95,07/17/19 19:05,"358 1st St, Dallas, TX 75001",208848
222951,Apple Airpods Headphones,1,150,07/08/19 12:34,"781 Maple St, San Francisco, CA 94016",177850
222952,Lightning Charging Cable,1,14.95,07/06/19 16:01,"879 Park St, San Francisco, CA 94016",273502
222953,Lightning Charging Cable,1,14.95,07/31/19 02:56,"109 Highland St, Los Angeles, CA 90001",255949
222954,AA Batteries (4-pack),2,3.84,07/14/19 18:11,"980 Chestnut St, Dallas, TX 75001",158677
222955,USB-C Charging Cable,1,11.95,07/01/19 14:27,"117 Lake St, Los Angeles, CA 90001",161588
222956,27in 4K Gaming Monitor,1,389.99,07/11/19 20:18,"525 6th St, Atlanta, GA 30301",203984
222957,AAA Batteries (4-pack),1,2.99,07/19/19 10:11,"143 5th St, Portland, OR 97035",105552
222958,AAA Batteries (4-pack),1,2.99,07/26/19 21:00,"777 5th St, Dallas, TX 75001",227779
222959,ThinkPad Laptop,1,999.99,07/15/19 13:07,"252 River St, Dallas, TX 75001",246239
222960,Lightning Charging Cable,1,14.95,07/11/19 08:44,"638 Dogwood St, San Francisco, CA 94016",31913
222961,Lightning Charging Cable,1,14.95,07/04/19 05:44,"840 5th St, Dallas, TX 75001",200814
222962,Wired Headphones,1,11.99,07/20/19 09:20,"694 Cherry St, Seattle, WA 98101",212820
222963,USB-C Charging Cable,1,11.95,07/29/19 09:11,"734 Elm St, Boston, MA 02215",123195
222964,Macbook Pro Laptop,1,1700,07/24/19 20:18,"601 Lake St, Boston, MA 02215",240755
222965,AAA Batteries (4-pack),2,2.99,07/07/19 12:06,"792 Cedar St, San Francisco, CA 94016",205199
222966,AA Batteries (4-pack),2,3.84,07/13/19 01:01,"718 7th St, Seattle, WA 98101",150191
222967,20in Monitor,1,109.99,07/14/19 11:58,"161 13th St, San Francisco, CA 94016",197322
222968,AA Batteries (4-pack),1,3.84,07/24/19 15:32,"536 14th St, San Francisco, CA 94016",246430
222969,AAA Batteries (4-pack),1,2.99,07/05/19 17:00,"248 Johnson St, San Francisco, CA 94016",219477
222970,AAA Batteries (4-pack),1,2.99,07/09/19 11:08,"594 Church St, Atlanta, GA 30301",112196
222971,Apple Airpods Headphones,1,150,07/05/19 14:49,"444 Spruce St, Austin, TX 73301",231048
222972,Wired Headphones,1,11.99,07/09/19 09:17,"917 Madison St, Seattle, WA 98101",218504
222973,Flatscreen TV,1,300,07/18/19 14:40,"509 Hickory St, Seattle, WA 98101",192263
222974,Lightning Charging Cable,1,14.95,07/09/19 19:51,"112 Wilson St, Los Angeles, CA 90001",279404
222975,Wired Headphones,1,11.99,07/19/19 16:15,"541 Hickory St, Los Angeles, CA 90001",223685
222976,Lightning Charging Cable,1,14.95,07/17/19 10:14,"390 1st St, Los Angeles, CA 90001",191114
222977,Lightning Charging Cable,1,14.95,07/14/19 22:07,"660 Walnut St, Los Angeles, CA 90001",195064
222978,AAA Batteries (4-pack),2,2.99,07/04/19 12:23,"941 Willow St, Seattle, WA 98101",219144
222979,Bose SoundSport Headphones,1,99.99,07/11/19 23:59,"844 Center St, Seattle, WA 98101",184959
222980,Bose SoundSport Headphones,1,99.99,07/13/19 11:16,"519 Park St, Atlanta, GA 30301",240127
222981,USB-C Charging Cable,1,11.95,07/26/19 00:40,"791 9th St, Austin, TX 73301",235166
222982,Flatscreen TV,1,300,07/28/19 12:40,"651 Ridge St, Portland, OR 97035",278874
222983,Lightning Charging Cable,1,14.95,07/16/19 00:06,"639 Spruce St, Boston, MA 02215",232531
222984,USB-C Charging Cable,1,11.95,07/29/19 21:50,"305 Johnson St, Austin, TX 73301",161740
222985,Bose SoundSport Headphones,1,99.99,07/21/19 12:41,"846 Lake St, Dallas, TX 75001",287611
222986,Lightning Charging Cable,1,14.95,07/05/19 11:13,"313 Forest St, San Francisco, CA 94016",116620
222987,AAA Batteries (4-pack),1,2.99,07/31/19 16:56,"538 1st St, New York City, NY 10001",190070
222988,Lightning Charging Cable,1,14.95,07/04/19 09:44,"647 Meadow St, Dallas, TX 75001",231726
222989,Lightning Charging Cable,1,14.95,07/07/19 20:53,"48 Walnut St, Dallas, TX 75001",235516
222990,AAA Batteries (4-pack),2,2.99,07/19/19 18:33,"419 Jackson St, New York City, NY 10001",224558
222991,27in FHD Monitor,1,149.99,07/05/19 10:06,"450 8th St, Los Angeles, CA 90001",250634
222992,AA Batteries (4-pack),1,3.84,07/05/19 18:49,"779 Washington St, San Francisco, CA 94016",178363
222993,AAA Batteries (4-pack),1,2.99,07/25/19 21:40,"697 Adams St, Los Angeles, CA 90001",277455
222994,USB-C Charging Cable,1,11.95,07/10/19 18:59,"251 Cedar St, New York City, NY 10001",162150
222995,34in Ultrawide Monitor,1,379.99,07/27/19 16:15,"837 Park St, San Francisco, CA 94016",176250
222996,27in FHD Monitor,1,149.99,07/12/19 16:53,"885 Sunset St, Los Angeles, CA 90001",228913
