Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Customer ID
209921,USB-C Charging Cable,1,11.95,06/23/19 19:34,"950 Walnut St, Portland, ME 04101",52755
209922,Macbook Pro Laptop,1,1700.0,06/30/19 10:05,"80 4th St, San Francisco, CA 94016",22849
209923,ThinkPad Laptop,1,999.99,06/24/19 20:18,"402 Jackson St, Los Angeles, CA 90001",33080
209924,27in FHD Monitor,1,149.99,06/05/19 10:21,"560 10th St, Seattle, WA 98101",38000
209925,Bose SoundSport Headphones,1,99.99,06/25/19 18:58,"545 2nd St, San Francisco, CA 94016",68548
209926,Apple Airpods Headphones,1,150.0,06/28/19 20:04,"386 Lake St, Seattle, WA 98101",12182
209927,Lightning Charging Cable,1,14.95,06/28/19 00:07,"29 Lincoln St, Los Angeles, CA 90001",83281
209928,Apple Airpods Headphones,1,150.0,06/16/19 21:30,"350 9th St, New York City, NY 10001",85412
209929,Wired Headphones,1,11.99,06/28/19 10:56,"612 Meadow St, Portland, OR 97035",47671
209930,27in FHD Monitor,1,149.99,06/02/19 11:22,"625 Ridge St, Los Angeles, CA 90001",50662
209931,Apple Airpods Headphones,1,150.0,06/24/19 13:55,"761 14th St, New York City, NY 10001",28702
209932,Flatscreen TV,1,300.0,06/12/19 14:36,"858 8th St, Boston, MA 02215",71341
209933,AA Batteries (4-pack),1,3.84,06/07/19 15:39,"932 Lakeview St, San Francisco, CA 94016",56025
209934,AAA Batteries (4-pack),1,2.99,06/13/19 20:53,"387 Dogwood St, Boston, MA 02215",30997
209935,AAA Batteries (4-pack),1,2.99,06/09/19 11:13,"530 Cedar St, Boston, MA 02215",55934
209936,34in Ultrawide Monitor,1,379.99,06/15/19 12:21,"769 Dogwood St, Dallas, TX 75001",100594
209937,AA Batteries (4-pack),1,3.84,06/29/19 18:01,"675 Maple St, Dallas, TX 75001",17006
209938,iPhone,1,700.0,06/15/19 12:29,"766 Meadow St, Seattle, WA 98101",71518
209938,Wired Headphones,1,11.99,06/15/19 12:29,"766 Meadow St, Seattle, WA 98101",71518
209939,Google Phone,1,600.0,06/08/19 16:55,"313 South St, San Francisco, CA 94016",74415
209940,34in Ultrawide Monitor,1,379.99,06/26/19 15:24,"990 South St, Atlanta, GA 30301",67305
209941,Wired Headphones,1,11.99,06/27/19 11:18,"486 13th St, Boston, MA 02215",72218
209942,27in 4K Gaming Monitor,1,389.99,06/19/19 13:52,"874 Wilson St, Austin, TX 73301",73430
209943,AAA Batteries (4-pack),3,2.99,06/23/19 16:19,"158 Willow St, Los Angeles, CA 90001",87232
209944,27in FHD Monitor,1,149.99,06/02/19 19:10,"916 Lake St, Austin, TX 73301",14032
209945,AA Batteries (4-pack),1,3.84,06/28/19 08:53,"211 12th St, San Francisco, CA 94016",40589
209946,Google Phone,1,600.0,06/28/19 22:13,"66 Cherry St, San Francisco, CA 94016",73448
209947,Apple Airpods Headphones,1,150.0,06/06/19 22:41,"7 Lakeview St, San Francisco, CA 94016",20300
209948,Macbook Pro Laptop,1,1700.0,06/09/19 01:48,"101 Spruce St, Atlanta, GA 30301",42547
209949,Google Phone,1,600.0,06/23/19 07:45,"637 12th St, San Francisco, CA 94016",35776
209949,USB-C Charging Cable,1,11.95,06/23/19 07:45,"637 12th St, San Francisco, CA 94016",35776
209950,Wired Headphones,2,11.99,06/01/19 18:03,"689 Walnut St, Los Angeles, CA 90001",93512
209951,27in 4K Gaming Monitor,1,389.99,06/30/19 13:04,"998 Johnson St, New York City, NY 10001",34071
209952,20in Monitor,1,109.99,06/26/19 17:48,"314 Willow St, Dallas, TX 75001",34933
209953,Google Phone,1,600.0,06/16/19 16:59,"753 6th St, Dallas, TX 75001",20824
209954,iPhone,1,700.0,06/16/19 07:21,"599 2nd St, San Francisco, CA 94016",49763
209955,AA Batteries (4-pack),1,3.84,06/15/19 21:25,"549 2nd St, Atlanta, GA 30301",38821
209956,AA Batteries (4-pack),2,3.84,06/26/19 15:23,"910 Jackson St, Seattle, WA 98101",39766
209957,AA Batteries (4-pack),1,3.84,06/13/19 12:23,"545 Dogwood St, Los Angeles, CA 90001",36907
209958,Wired Headphones,1,11.99,06/06/19 12:09,"326 Hickory St, Los Angeles, CA 90001",88780
209959,USB-C Charging Cable,1,11.95,06/01/19 15:48,"88 River St, Atlanta, GA 30301",40479
209960,USB-C Charging Cable,1,11.95,06/22/19 11:53,"333 Sunset St, Dallas, TX 75001",44540
209960,AA Batteries (4-pack),1,3.84,06/22/19 11:53,"333 Sunset St, Dallas, TX 75001",44540
209961,iPhone,1,700.0,06/01/19 23:00,"482 South St, Austin, TX 73301",60570
209961,Lightning Charging Cable,1,14.95,06/01/19 23:00,"482 South St, Austin, TX 73301",60570
209962,USB-C Charging Cable,1,11.95,06/23/19 10:58,"441 Cherry St, New York City, NY 10001",55651
209963,Lightning Charging Cable,1,14.95,06/13/19 18:58,"551 Hill St, Boston, MA 02215",39021
209964,USB-C Charging Cable,2,11.95,06/11/19 14:30,"822 8th St, Los Angeles, CA 90001",101476
209965,20in Monitor,1,109.99,06/24/19 14:00,"910 North St, San Francisco, CA 94016",57559
209966,Lightning Charging Cable,1,14.95,06/20/19 09:46,"743 Adams St, New York City, NY 10001",59700
209967,AA Batteries (4-pack),2,3.84,06/21/19 21:18,"584 Chestnut St, San Francisco, CA 94016",17245
209968,Apple Airpods Headphones,1,150.0,06/23/19 13:06,"120 Church St, Dallas, TX 75001",25824
209969,Apple Airpods Headphones,1,150.0,06/21/19 15:55,"133 Sunset St, Los Angeles, CA 90001",64612
209970,AAA Batteries (4-pack),1,2.99,06/08/19 20:58,"181 Meadow St, Seattle, WA 98101",18912
209971,AA Batteries (4-pack),1,3.84,06/22/19 15:11,"440 Maple St, Dallas, TX 75001",23544
209972,Wired Headphones,1,11.99,06/14/19 17:09,"690 11th St, New York City, NY 10001",66218
209973,Bose SoundSport Headphones,1,99.99,06/06/19 12:20,"658 Highland St, Austin, TX 73301",89571
209974,USB-C Charging Cable,1,11.95,06/11/19 10:06,"555 9th St, New York City, NY 10001",91902
209975,AA Batteries (4-pack),3,3.84,06/05/19 21:25,"152 Johnson St, New York City, NY 10001",56064
209976,Apple Airpods Headphones,1,150.0,06/26/19 11:52,"966 Washington St, Atlanta, GA 30301",75803
209977,AA Batteries (4-pack),1,3.84,06/01/19 06:28,"96 14th St, Los Angeles, CA 90001",86667
209978,Lightning Charging Cable,1,14.95,06/05/19 13:50,"57 1st St, Los Angeles, CA 90001",57960
209979,USB-C Charging Cable,1,11.95,06/24/19 09:42,"979 2nd St, San Francisco, CA 94016",42562
209980,Bose SoundSport Headphones,1,99.99,06/28/19 20:28,"875 Forest St, New York City, NY 10001",36407
209981,iPhone,1,700.0,06/05/19 19:25,"898 14th St, Los Angeles, CA 90001",35213
209982,27in 4K Gaming Monitor,1,389.99,06/17/19 19:31,"315 Forest St, New York City, NY 10001",85003
209983,Macbook Pro Laptop,1,1700.0,06/22/19 16:25,"702 Center St, Seattle, WA 98101",90029
209984,USB-C Charging Cable,1,11.95,06/03/19 06:50,"36 7th St, Seattle, WA 98101",65985
209985,Apple Airpods Headphones,1,150.0,06/05/19 22:18,"54 12th St, Portland, OR 97035",76041
209986,20in Monitor,1,109.99,06/23/19 16:49,"11 Wilson St, New York City, NY 10001",25494
209987,AAA Batteries (4-pack),3,2.99,06/03/19 03:22,"76 River St, Los Angeles, CA 90001",38878
209988,Wired Headphones,1,11.99,06/27/19 18:04,"403 Main St, San Francisco, CA 94016",100610
209989,iPhone,1,700.0,06/19/19 23:34,"285 8th St, Los Angeles, CA 90001",85928
209990,Google Phone,1,600.0,06/16/19 20:31,"557 Wilson St, Austin, TX 73301",70014
209991,AAA Batteries (4-pack),1,2.99,06/02/19 19:00,"835 Chestnut St, Boston, MA 02215",100069
209992,Apple Airpods Headphones,1,150.0,06/21/19 07:51,"207 13th St, Boston, MA 02215",28394
209993,USB-C Charging Cable,1,11.95,06/04/19 18:14,"810 Meadow St, Dallas, TX 75001",54309
209994,Lightning Charging Cable,1,14.95,06/28/19 21:01,"679 Washington St, Boston, MA 02215",65637
209995,27in 4K Gaming Monitor,1,389.99,06/13/19 19:16,"890 Washington St, Austin, TX 73301",67154
209996,Google Phone,1,600.0,06/13/19 08:21,"965 Johnson St, Austin, TX 73301",82739
209997,AA Batteries (4-pack),1,3.84,06/19/19 11:23,"594 Lake St, New York City, NY 10001",33316
209998,Bose SoundSport Headphones,1,99.99,06/17/19 23:15,"988 Madison St, San Francisco, CA 94016",62554
209999,Bose SoundSport Headphones,1,99.99,06/16/19 08:37,"949 10th St, Dallas, TX 75001",48551
210000,iPhone,1,700.0,06/06/19 19:17,"534 Park St, Los Angeles, CA 90001",24416
210001,AA Batteries (4-pack),1,3.84,06/22/19 12:47,"171 Madison St, Portland, OR 97035",44019
210002,AAA Batteries (4-pack),1,2.99,06/26/19 13:28,"124 Park St, San Francisco, CA 94016",41686
210003,Bose SoundSport Headphones,1,99.99,06/26/19 15:09,"928 West St, Boston, MA 02215",22978
210004,AAA Batteries (4-pack),1,2.99,06/23/19 14:40,"868 8th St, San Francisco, CA 94016",81279
210005,AAA Batteries (4-pack),1,2.99,06/12/19 19:53,"532 Willow St, Atlanta, GA 30301",28689
210006,Lightning Charging Cable,1,14.95,06/21/19 19:02,"186 14th St, Boston, MA 02215",57369
210007,iPhone,1,700.0,06/30/19 09:06,"133 Highland St, Dallas, TX 75001",52771
210008,27in FHD Monitor,1,149.99,06/19/19 00:07,"433 14th St, Portland, OR 97035",55988
210009,Bose SoundSport Headphones,1,99.99,06/29/19 09:24,"35 West St, Los Angeles, CA 90001",77887
210010,USB-C Charging Cable,1,11.95,06/01/19 10:56,"469 Pine St, Austin, TX 73301",77439
210011,AA Batteries (4-pack),1,3.84,06/13/19 15:10,"615 Forest St, Atlanta, GA 30301",86546
210012,34in Ultrawide Monitor,1,379.99,06/04/19 17:21,"507 1st St, San Francisco, CA 94016",84620
210013,AA Batteries (4-pack),2,3.84,06/17/19 17:27,"820 5th St, New York City, NY 10001",85241
210014,Wired Headphones,1,11.99,06/28/19 17:08,"465 Meadow St, Portland, OR 97035",77151
210015,Wired Headphones,1,11.99,06/06/19 18:12,"559 11th St, Atlanta, GA 30301",88181
210016,AA Batteries (4-pack),2,3.84,06/22/19 22:17,"34 14th St, San Francisco, CA 94016",32330
210017,AAA Batteries (4-pack),1,2.99,06/18/19 17:03,"624 Adams St, Atlanta, GA 30301",90581
210018,Lightning Charging Cable,1,14.95,06/14/19 15:01,"684 Maple St, San Francisco, CA 94016",53821
210019,Lightning Charging Cable,1,14.95,06/27/19 17:10,"505 Maple St, New York City, NY 10001",64724
210020,Apple Airpods Headphones,1,150.0,06/26/19 15:02,"920 Washington St, Los Angeles, CA 90001",87457
210021,AAA Batteries (4-pack),1,2.99,06/07/19 23:22,"627 Spruce St, Boston, MA 02215",25192
210022,Lightning Charging Cable,1,14.95,06/29/19 08:19,"943 9th St, San Francisco, CA 94016",91576
210023,AA Batteries (4-pack),3,3.84,06/12/19 21:24,"838 Dogwood St, Los Angeles, CA 90001",38710
210024,AAA Batteries (4-pack),1,2.99,06/19/19 20:21,"649 7th St, Dallas, TX 75001",97140
210025,20in Monitor,1,109.99,06/02/19 16:59,"940 14th St, New York City, NY 10001",88527
210026,Bose SoundSport Headphones,1,99.99,06/12/19 13:42,"878 4th St, San Francisco, CA 94016",56566
210027,Macbook Pro Laptop,1,1700.0,06/05/19 14:35,"763 2nd St, Los Angeles, CA 90001",94403
210028,27in FHD Monitor,1,149.99,06/15/19 18:24,"297 12th St, Dallas, TX 75001",51934
210029,Bose SoundSport Headphones,1,99.99,06/05/19 15:21,"509 4th St, Dallas, TX 75001",34475
210030,Macbook Pro Laptop,1,1700.0,06/03/19 09:11,"479 Willow St, Los Angeles, CA 90001",39166
210031,AAA Batteries (4-pack),1,2.99,06/08/19 11:01,"641 Lincoln St, Portland, OR 97035",89112
210032,AA Batteries (4-pack),1,3.84,06/27/19 11:59,"569 4th St, Atlanta, GA 30301",36098
210033,AA Batteries (4-pack),2,3.84,06/15/19 18:25,"749 North St, New York City, NY 10001",87706
210034,27in 4K Gaming Monitor,1,389.99,06/14/19 18:07,"476 1st St, Atlanta, GA 30301",77735
210035,27in FHD Monitor,1,149.99,06/30/19 14:02,"386 1st St, Dallas, TX 75001",93179
210036,AA Batteries (4-pack),1,3.84,06/08/19 19:05,"598 Meadow St, Boston, MA 02215",19178
210037,AAA Batteries (4-pack),1,2.99,06/26/19 09:53,"524 6th St, New York City, NY 10001",15541
210038,ThinkPad Laptop,1,999.99,06/15/19 14:49,"443 Maple St, New York City, NY 10001",75626
210039,AAA Batteries (4-pack),1,2.99,06/10/19 09:08,"988 Maple St, Dallas, TX 75001",82154
210040,AA Batteries (4-pack),1,3.84,06/29/19 14:30,"711 1st St, San Francisco, CA 94016",54458
210041,27in FHD Monitor,1,149.99,06/17/19 21:31,"225 West St, Atlanta, GA 30301",79668
210042,Flatscreen TV,1,300.0,06/21/19 06:28,"325 Park St, Portland, OR 97035",100213
210043,Apple Airpods Headphones,1,150.0,06/16/19 23:20,"395 Main St, Seattle, WA 98101",98046
210044,Apple Airpods Headphones,1,150.0,06/14/19 00:28,"372 Spruce St, Portland, OR 97035",92318
210045,Bose SoundSport Headphones,1,99.99,06/03/19 19:58,"287 Cedar St, Boston, MA 02215",35554
210046,Apple Airpods Headphones,1,150.0,06/15/19 11:08,"816 1st St, San Francisco, CA 94016",78498
210047,34in Ultrawide Monitor,1,379.99,06/06/19 18:53,"973 Lakeview St, San Francisco, CA 94016",33154
210048,Wired Headphones,1,11.99,06/05/19 07:41,"314 Ridge St, San Francisco, CA 94016",42717
210049,ThinkPad Laptop,1,999.99,06/20/19 18:20,"993 6th St, San Francisco, CA 94016",91931
210050,Bose SoundSport Headphones,1,99.99,06/13/19 11:24,"271 13th St, New York City, NY 10001",81182
210051,iPhone,1,700.0,06/11/19 16:15,"784 Pine St, Austin, TX 73301",37373
210052,USB-C Charging Cable,1,11.95,06/18/19 14:01,"24 Main St, Seattle, WA 98101",31306
210053,Lightning Charging Cable,1,14.95,06/04/19 11:55,"68 Lake St, Los Angeles, CA 90001",12923
210054,Lightning Charging Cable,1,14.95,06/22/19 18:26,"175 6th St, Los Angeles, CA 90001",72303
210055,Apple Airpods Headphones,1,150.0,06/17/19 20:00,"575 Wilson St, Portland, ME 04101",95269
210056,Macbook Pro Laptop,1,1700.0,06/09/19 00:13,"171 Lakeview St, Seattle, WA 98101",74775
210057,AAA Batteries (4-pack),2,2.99,06/19/19 09:23,"82 2nd St, Boston, MA 02215",30114
210058,Lightning Charging Cable,1,14.95,06/12/19 14:17,"641 1st St, Austin, TX 73301",35132
210059,27in FHD Monitor,1,149.99,06/06/19 18:50,"902 Hickory St, Los Angeles, CA 90001",46354
210060,USB-C Charging Cable,1,11.95,06/06/19 20:24,"592 Elm St, Portland, OR 97035",17786
210061,Flatscreen TV,1,300.0,06/28/19 23:36,"975 Elm St, San Francisco, CA 94016",73827
210062,AAA Batteries (4-pack),1,2.99,06/04/19 14:37,"709 Church St, New York City, NY 10001",21081
210063,Lightning Charging Cable,1,14.95,06/19/19 23:19,"77 Highland St, Atlanta, GA 30301",79045
210064,Lightning Charging Cable,1,14.95,06/16/19 20:39,"101 Lincoln St, Atlanta, GA 30301",60090
210064,27in FHD Monitor,1,149.99,06/16/19 20:39,"101 Lincoln St, Atlanta, GA 30301",60090
210065,Lightning Charging Cable,1,14.95,06/20/19 15:11,"490 River St, San Francisco, CA 94016",58195
210066,iPhone,1,700.0,06/07/19 12:07,"691 Cherry St, Dallas, TX 75001",28292
210067,Wired Headphones,1,11.99,06/16/19 15:47,"471 Lincoln St, Los Angeles, CA 90001",18082
210068,AA Batteries (4-pack),1,3.84,06/09/19 16:40,"868 6th St, San Francisco, CA 94016",88240
210069,Google Phone,1,600.0,06/11/19 06:26,"743 2nd St, New York City, NY 10001",100215
210070,AAA Batteries (4-pack),1,2.99,06/19/19 17:05,"977 Johnson St, San Francisco, CA 94016",90977
210071,Lightning Charging Cable,1,14.95,06/10/19 17:31,"988 Pine St, Portland, OR 97035",48736
210072,AA Batteries (4-pack),2,3.84,06/19/19 16:07,"921 4th St, San Francisco, CA 94016",93568
210073,Bose SoundSport Headphones,1,99.99,06/14/19 17:21,"400 Johnson St, Dallas, TX 75001",31202
Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,20442
210074,AA Batteries (4-pack),2,3.84,06/25/19 10:06,"794 Wilson St, Los Angeles, CA 90001",31380
210075,USB-C Charging Cable,1,11.95,06/07/19 14:29,"216 Main St, Los Angeles, CA 90001",58262
210076,AA Batteries (4-pack),1,3.84,06/16/19 22:58,"168 Washington St, New York City, NY 10001",15870
210077,Wired Headphones,1,11.99,06/15/19 07:33,"357 8th St, San Francisco, CA 94016",71639
210078,ThinkPad Laptop,1,999.99,06/08/19 17:12,"981 Chestnut St, Portland, OR 97035",27445
210079,LG Dryer,1,600.0,06/10/19 16:48,"516 Park St, San Francisco, CA 94016",21610
210080,AAA Batteries (4-pack),1,2.99,06/24/19 21:20,"280 Spruce St, Austin, TX 73301",81958
210081,Bose SoundSport Headphones,1,99.99,06/01/19 21:29,"354 Dogwood St, Atlanta, GA 30301",72834
210082,USB-C Charging Cable,1,11.95,06/02/19 15:26,"119 11th St, Los Angeles, CA 90001",63985
210083,Lightning Charging Cable,1,14.95,06/05/19 09:51,"468 12th St, Boston, MA 02215",71495
210084,ThinkPad Laptop,1,999.99,06/11/19 18:16,"696 Adams St, Los Angeles, CA 90001",96575
210085,27in FHD Monitor,1,149.99,06/08/19 19:13,"425 13th St, Austin, TX 73301",75038
210086,34in Ultrawide Monitor,1,379.99,06/02/19 21:09,"550 Lake St, San Francisco, CA 94016",22717
210087,Lightning Charging Cable,1,14.95,06/30/19 12:11,"720 Dogwood St, San Francisco, CA 94016",56436
210088,Wired Headphones,1,11.99,06/18/19 18:37,"619 7th St, Austin, TX 73301",65478
210089,USB-C Charging Cable,1,11.95,06/24/19 19:10,"177 8th St, Los Angeles, CA 90001",85242
210090,AAA Batteries (4-pack),3,2.99,06/29/19 15:43,"534 Johnson St, Portland, OR 97035",72223
210091,Macbook Pro Laptop,1,1700,06/03/19 05:39,"238 5th St, San Francisco, CA 94016",73833
210092,USB-C Charging Cable,1,11.95,06/02/19 19:52,"359 Jefferson St, San Francisco, CA 94016",43295
210093,Apple Airpods Headphones,1,150,06/04/19 08:52,"2 Hill St, San Francisco, CA 94016",90975
210094,AAA Batteries (4-pack),1,2.99,06/06/19 11:55,"968 2nd St, Austin, TX 73301",38869
210095,AAA Batteries (4-pack),2,2.99,06/27/19 14:01,"930 North St, Atlanta, GA 30301",42801
210096,27in FHD Monitor,1,149.99,06/10/19 10:17,"126 8th St, Atlanta, GA 30301",55965
210097,Lightning Charging Cable,1,14.95,06/07/19 12:26,"399 Spruce St, Seattle, WA 98101",55605
210098,AAA Batteries (4-pack),1,2.99,06/06/19 00:11,"587 Adams St, San Francisco, CA 94016",60875
210099,Lightning Charging Cable,2,14.95,06/17/19 20:56,"362 Highland St, Seattle, WA 98101",62332
210100,Apple Airpods Headphones,1,150,06/27/19 09:30,"550 7th St, New York City, NY 10001",54783
210101,Vareebadd Phone,1,400,06/05/19 13:53,"944 Hickory St, Los Angeles, CA 90001",32628
210102,Wired Headphones,1,11.99,06/17/19 09:05,"275 Forest St, San Francisco, CA 94016",25667
210103,Google Phone,1,600,06/01/19 17:58,"626 12th St, Los Angeles, CA 90001",30355
210104,Bose SoundSport Headphones,1,99.99,06/14/19 16:51,"324 Lake St, Los Angeles, CA 90001",91795
210105,AA Batteries (4-pack),3,3.84,06/19/19 20:22,"445 11th St, Boston, MA 02215",85304
210106,Wired Headphones,2,11.99,06/12/19 20:04,"531 Johnson St, Austin, TX 73301",73665
210107,Lightning Charging Cable,1,14.95,06/13/19 07:19,"325 Jefferson St, Los Angeles, CA 90001",87432
210108,27in FHD Monitor,1,149.99,06/25/19 12:37,"859 Center St, San Francisco, CA 94016",14401
210109,Lightning Charging Cable,1,14.95,06/24/19 12:04,"820 West St, Boston, MA 02215",41891
210110,Apple Airpods Headphones,1,150,06/13/19 18:26,"194 Hill St, Portland, OR 97035",31454
