Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Customer ID
278797,Wired Headphones,1,11.99,11/21/19 09:54,"46 Park St, New York City, NY 10001",156644
278798,USB-C Charging Cable,2,11.95,11/17/19 10:03,"962 Hickory St, Austin, TX 73301",282490
278799,Apple Airpods Headphones,1,150.0,11/19/19 14:56,"464 Cherry St, Los Angeles, CA 90001",149082
278800,27in FHD Monitor,1,149.99,11/25/19 22:24,"649 10th St, Seattle, WA 98101",114318
278801,Bose SoundSport Headphones,1,99.99,11/09/19 13:56,"522 Hill St, Boston, MA 02215",101227
278802,USB-C Charging Cable,1,11.95,11/14/19 20:34,"154 2nd St, San Francisco, CA 94016",224562
278803,Lightning Charging Cable,1,14.95,11/11/19 08:05,"724 5th St, San Francisco, CA 94016",228288
278804,Bose SoundSport Headphones,1,99.99,11/15/19 11:48,"866 Sunset St, Austin, TX 73301",260315
278805,Lightning Charging Cable,1,14.95,11/27/19 11:50,"670 Elm St, San Francisco, CA 94016",289885
278806,Bose SoundSport Headphones,1,99.99,11/19/19 19:12,"174 2nd St, Boston, MA 02215",127582
278806,ThinkPad Laptop,1,999.99,11/19/19 19:12,"174 2nd St, Boston, MA 02215",127582
278807,ThinkPad Laptop,1,999.99,11/25/19 21:52,"240 Elm St, Austin, TX 73301",252424
278808,AAA Batteries (4-pack),1,2.99,11/23/19 13:19,"155 Highland St, Boston, MA 02215",216050
278809,AA Batteries (4-pack),1,3.84,11/17/19 12:38,"969 13th St, Dallas, TX 75001",169196
278810,USB-C Charging Cable,1,11.95,11/03/19 16:55,"454 Cherry St, Boston, MA 02215",31784
278811,Wired Headphones,1,11.99,11/06/19 16:01,"99 Elm St, San Francisco, CA 94016",150992
278811,Apple Airpods Headphones,1,150.0,11/06/19 16:01,"99 Elm St, San Francisco, CA 94016",150992
278812,Apple Airpods Headphones,1,150.0,11/17/19 20:08,"601 Church St, Seattle, WA 98101",142672
278813,Macbook Pro Laptop,1,1700.0,11/09/19 22:40,"131 6th St, Boston, MA 02215",129647
278814,AA Batteries (4-pack),3,3.84,11/16/19 16:45,"419 Hill St, Boston, MA 02215",208347
278815,Lightning Charging Cable,1,14.95,11/18/19 13:06,"815 Dogwood St, New York City, NY 10001",197179
278816,Lightning Charging Cable,1,14.95,11/08/19 08:58,"925 5th St, New York City, NY 10001",35630
278817,USB-C Charging Cable,1,11.95,11/05/19 23:25,"503 Chestnut St, Boston, MA 02215",131198
278818,USB-C Charging Cable,1,11.95,11/16/19 22:12,"541 Johnson St, New York City, NY 10001",107375
278819,iPhone,1,700.0,11/04/19 06:20,"880 Maple St, New York City, NY 10001",177797
278819,Apple Airpods Headphones,1,150.0,11/04/19 06:20,"880 Maple St, New York City, NY 10001",177797
278820,USB-C Charging Cable,2,11.95,11/17/19 15:11,"882 Walnut St, Portland, OR 97035",127194
278821,USB-C Charging Cable,1,11.95,11/25/19 16:17,"327 13th St, Dallas, TX 75001",295557
278822,Bose SoundSport Headphones,1,99.99,11/20/19 08:17,"816 Park St, Atlanta, GA 30301",263569
278823,AA Batteries (4-pack),1,3.84,11/29/19 20:42,"234 9th St, Boston, MA 02215",181927
278824,27in FHD Monitor,1,149.99,11/08/19 11:05,"677 Johnson St, Portland, OR 97035",174502
278825,Bose SoundSport Headphones,1,99.99,11/02/19 00:35,"928 Wilson St, San Francisco, CA 94016",140512
278826,20in Monitor,1,109.99,11/26/19 15:58,"532 Cedar St, Austin, TX 73301",163525
278827,Apple Airpods Headphones,1,150.0,11/01/19 13:06,"305 Highland St, San Francisco, CA 94016",241404
278828,34in Ultrawide Monitor,1,379.99,11/12/19 20:24,"470 13th St, San Francisco, CA 94016",291713
278829,iPhone,1,700.0,11/20/19 22:19,"977 Johnson St, Los Angeles, CA 90001",180868
278830,USB-C Charging Cable,1,11.95,11/04/19 13:28,"651 Hill St, Boston, MA 02215",106287
278831,Bose SoundSport Headphones,1,99.99,11/11/19 12:37,"607 8th St, Los Angeles, CA 90001",129418
278832,Vareebadd Phone,1,400.0,11/10/19 16:10,"783 12th St, San Francisco, CA 94016",217277
278833,iPhone,1,700.0,11/04/19 10:34,"700 Pine St, San Francisco, CA 94016",249426
278833,Lightning Charging Cable,2,14.95,11/04/19 10:34,"700 Pine St, San Francisco, CA 94016",249426
278834,Wired Headphones,1,11.99,11/07/19 13:19,"792 9th St, Los Angeles, CA 90001",221136
278835,AAA Batteries (4-pack),1,2.99,11/13/19 20:05,"302 Highland St, San Francisco, CA 94016",52131
278836,Wired Headphones,1,11.99,11/26/19 20:48,"989 12th St, New York City, NY 10001",129511
278837,AA Batteries (4-pack),1,3.84,11/10/19 16:05,"349 9th St, San Francisco, CA 94016",200934
278838,Flatscreen TV,1,300.0,11/12/19 15:37,"835 Main St, San Francisco, CA 94016",294824
278839,Lightning Charging Cable,1,14.95,11/23/19 11:16,"614 Church St, San Francisco, CA 94016",149567
278840,Bose SoundSport Headphones,1,99.99,11/23/19 20:46,"490 Walnut St, Los Angeles, CA 90001",103997
278840,27in FHD Monitor,1,149.99,11/23/19 20:46,"490 Walnut St, Los Angeles, CA 90001",103997
278841,USB-C Charging Cable,1,11.95,11/28/19 09:07,"847 Dogwood St, San Francisco, CA 94016",160619
278842,AA Batteries (4-pack),1,3.84,11/06/19 00:37,"487 Lincoln St, New York City, NY 10001",202263
278843,USB-C Charging Cable,1,11.95,11/07/19 11:59,"435 Hill St, Portland, ME 04101",210841
278844,20in Monitor,1,109.99,11/24/19 12:37,"944 Madison St, Los Angeles, CA 90001",207865
278845,Lightning Charging Cable,1,14.95,11/09/19 11:46,"497 6th St, Boston, MA 02215",142868
278846,Lightning Charging Cable,1,14.95,11/25/19 22:05,"84 1st St, Los Angeles, CA 90001",48355
278847,34in Ultrawide Monitor,1,379.99,11/12/19 13:52,"903 Madison St, Boston, MA 02215",260627
278848,Flatscreen TV,1,300.0,11/23/19 16:40,"140 West St, Austin, TX 73301",112188
278849,AAA Batteries (4-pack),1,2.99,11/16/19 11:49,"984 Washington St, Seattle, WA 98101",206026
278850,USB-C Charging Cable,1,11.95,11/21/19 14:25,"555 Cherry St, San Francisco, CA 94016",137966
278851,Apple Airpods Headphones,1,150.0,11/08/19 19:49,"687 Maple St, Los Angeles, CA 90001",284971
278852,AAA Batteries (4-pack),1,2.99,11/12/19 16:53,"998 Hill St, Seattle, WA 98101",299326
278853,AAA Batteries (4-pack),1,2.99,11/20/19 19:01,"591 Washington St, San Francisco, CA 94016",277849
278854,27in 4K Gaming Monitor,1,389.99,11/04/19 00:24,"952 Dogwood St, Portland, OR 97035",286139
278855,AA Batteries (4-pack),1,3.84,11/21/19 21:32,"193 Maple St, New York City, NY 10001",293722
278856,Apple Airpods Headphones,1,150.0,11/10/19 22:27,"788 North St, New York City, NY 10001",132206
278857,USB-C Charging Cable,1,11.95,11/30/19 15:37,"150 Wilson St, Los Angeles, CA 90001",191709
278857,AAA Batteries (4-pack),2,2.99,11/30/19 15:37,"150 Wilson St, Los Angeles, CA 90001",191709
278858,USB-C Charging Cable,1,11.95,11/16/19 13:23,"690 Spruce St, San Francisco, CA 94016",291144
278859,27in FHD Monitor,1,149.99,11/21/19 22:29,"30 West St, Dallas, TX 75001",201979
,,,,,nan,140648
278860,Wired Headphones,2,11.99,11/22/19 21:45,"389 Madison St, Boston, MA 02215",220910
278861,AA Batteries (4-pack),2,3.84,11/24/19 16:18,"485 Jefferson St, New York City, NY 10001",118417
278862,Wired Headphones,1,11.99,11/04/19 09:22,"351 Spruce St, Portland, ME 04101",109404
278863,Wired Headphones,1,11.99,11/21/19 16:29,"511 10th St, Los Angeles, CA 90001",175020
278864,Apple Airpods Headphones,1,150,11/09/19 19:29,"67 Meadow St, San Francisco, CA 94016",155894
278865,27in 4K Gaming Monitor,1,389.99,11/14/19 17:44,"518 Center St, New York City, NY 10001",190918
278866,USB-C Charging Cable,1,11.95,11/12/19 23:44,"755 2nd St, San Francisco, CA 94016",180301
278867,Apple Airpods Headphones,1,150,11/13/19 11:55,"249 Madison St, Atlanta, GA 30301",103330
278868,Wired Headphones,1,11.99,11/12/19 22:27,"614 Maple St, New York City, NY 10001",272387
278869,Lightning Charging Cable,1,14.95,11/22/19 12:18,"164 North St, Dallas, TX 75001",164672
278870,Bose SoundSport Headphones,1,99.99,11/29/19 19:53,"921 Meadow St, Seattle, WA 98101",233769
278871,34in Ultrawide Monitor,1,379.99,11/22/19 14:01,"95 Willow St, Dallas, TX 75001",253046
278872,iPhone,1,700,11/02/19 10:46,"916 North St, Portland, OR 97035",290942
278873,Lightning Charging Cable,1,14.95,11/28/19 22:30,"206 Willow St, Portland, OR 97035",246975
278874,Lightning Charging Cable,1,14.95,11/13/19 17:58,"828 Spruce St, Austin, TX 73301",213887
278875,USB-C Charging Cable,1,11.95,11/26/19 11:09,"832 Sunset St, Los Angeles, CA 90001",287969
278876,Bose SoundSport Headphones,1,99.99,11/27/19 17:31,"174 Main St, Portland, OR 97035",294330
278877,34in Ultrawide Monitor,1,379.99,11/24/19 20:08,"684 Madison St, Atlanta, GA 30301",220857
278878,AAA Batteries (4-pack),1,2.99,11/07/19 16:06,"515 1st St, New York City, NY 10001",184255
278879,27in 4K Gaming Monitor,1,389.99,11/21/19 23:35,"738 6th St, San Francisco, CA 94016",223749
278880,Apple Airpods Headphones,1,150,11/16/19 13:07,"531 Ridge St, San Francisco, CA 94016",248901
278881,20in Monitor,1,109.99,11/22/19 11:30,"695 Jefferson St, New York City, NY 10001",247343
278882,Bose SoundSport Headphones,1,99.99,11/15/19 20:31,"469 8th St, San Francisco, CA 94016",149411
278883,Wired Headphones,2,11.99,11/28/19 23:11,"153 Washington St, San Francisco, CA 94016",273750
278884,Flatscreen TV,1,300,11/09/19 23:48,"288 Washington St, Portland, OR 97035",236258
278885,34in Ultrawide Monitor,1,379.99,11/12/19 18:53,"129 Ridge St, Austin, TX 73301",140719
278886,USB-C Charging Cable,1,11.95,11/17/19 13:44,"315 Elm St, San Francisco, CA 94016",221122
278887,AA Batteries (4-pack),1,3.84,11/18/19 14:55,"281 1st St, Atlanta, GA 30301",138755
278888,AA Batteries (4-pack),1,3.84,11/24/19 15:44,"447 Cherry St, Los Angeles, CA 90001",148099
278889,USB-C Charging Cable,1,11.95,11/30/19 08:39,"171 13th St, Los Angeles, CA 90001",187440
278890,Apple Airpods Headphones,1,150,11/26/19 11:27,"673 West St, Seattle, WA 98101",162074
278891,Flatscreen TV,1,300,11/04/19 12:19,"116 5th St, San Francisco, CA 94016",144484
278892,USB-C Charging Cable,1,11.95,11/08/19 12:10,"214 North St, Dallas, TX 75001",197950
278893,AA Batteries (4-pack),1,3.84,11/21/19 18:39,"39 Church St, Los Angeles, CA 90001",247584
278894,Bose SoundSport Headphones,1,99.99,11/16/19 10:06,"334 Pine St, Dallas, TX 75001",117022
278895,USB-C Charging Cable,1,11.95,11/25/19 17:28,"24 West St, Los Angeles, CA 90001",278200
278896,AAA Batteries (4-pack),2,2.99,11/13/19 19:10,"906 North St, New York City, NY 10001",227542
278897,27in FHD Monitor,1,149.99,11/21/19 13:42,"277 Hill St, San Francisco, CA 94016",154861
278898,34in Ultrawide Monitor,1,379.99,11/02/19 20:23,"938 6th St, Los Angeles, CA 90001",180091
278899,AA Batteries (4-pack),1,3.84,11/10/19 20:51,"328 1st St, Portland, OR 97035",256354
278900,Bose SoundSport Headphones,1,99.99,11/13/19 18:34,"948 North St, Boston, MA 02215",242993
278901,Lightning Charging Cable,1,14.95,11/26/19 19:08,"423 7th St, Los Angeles, CA 90001",159256
278902,ThinkPad Laptop,1,999.99,11/22/19 17:49,"117 4th St, San Francisco, CA 94016",143643
278903,Google Phone,1,600,11/05/19 17:19,"478 Dogwood St, San Francisco, CA 94016",257781
278904,AAA Batteries (4-pack),1,2.99,11/03/19 13:57,"396 Cedar St, Atlanta, GA 30301",191915
278905,AAA Batteries (4-pack),4,2.99,11/04/19 14:13,"458 Meadow St, Portland, OR 97035",64626
278906,Lightning Charging Cable,1,14.95,11/04/19 14:51,"873 Hickory St, Boston, MA 02215",113324
278907,USB-C Charging Cable,1,11.95,11/09/19 16:43,"697 West St, Dallas, TX 75001",240801
278908,27in 4K Gaming Monitor,1,389.99,11/13/19 17:19,"256 Adams St, Seattle, WA 98101",233477
278909,Lightning Charging Cable,1,14.95,11/10/19 19:25,"250 South St, Los Angeles, CA 90001",119357
278910,USB-C Charging Cable,1,11.95,11/02/19 20:45,"42 12th St, Boston, MA 02215",182098
278911,Macbook Pro Laptop,1,1700,11/24/19 13:03,"244 Walnut St, Los Angeles, CA 90001",111494
278912,AAA Batteries (4-pack),2,2.99,11/08/19 11:02,"319 Cherry St, Los Angeles, CA 90001",283623
278913,Lightning Charging Cable,1,14.95,11/01/19 10:21,"868 Elm St, Seattle, WA 98101",154479
278914,Wired Headphones,1,11.99,11/30/19 15:01,"222 Pine St, Boston, MA 02215",232148
278915,AA Batteries (4-pack),3,3.84,11/11/19 18:39,"267 North St, Los Angeles, CA 90001",197002
278916,Apple Airpods Headphones,1,150,11/24/19 21:17,"561 7th St, San Francisco, CA 94016",158259
278917,Apple Airpods Headphones,1,150,11/19/19 22:08,"787 Wilson St, Seattle, WA 98101",145921
278918,Apple Airpods Headphones,1,150,11/01/19 09:49,"325 Pine St, Austin, TX 73301",17567
278919,Lightning Charging Cable,1,14.95,11/05/19 19:44,"378 Ridge St, New York City, NY 10001",239083
278920,AA Batteries (4-pack),2,3.84,11/18/19 12:55,"886 Hill St, Seattle, WA 98101",41985
278921,Wired Headphones,1,11.99,11/19/19 18:32,"427 10th St, Austin, TX 73301",285444
278922,27in FHD Monitor,1,149.99,11/06/19 15:35,"143 10th St, San Francisco, CA 94016",265636
278923,AA Batteries (4-pack),1,3.84,11/04/19 11:14,"898 Chestnut St, Boston, MA 02215",288189
278924,Google Phone,1,600,11/16/19 21:36,"796 12th St, Dallas, TX 75001",153756
278925,27in 4K Gaming Monitor,1,389.99,11/11/19 23:52,"236 2nd St, Los Angeles, CA 90001",176764
278926,LG Washing Machine,1,600.0,11/21/19 13:11,"772 Maple St, Boston, MA 02215",125401
278927,Wired Headphones,1,11.99,11/26/19 09:54,"919 12th St, Atlanta, GA 30301",189013
,,,,,nan,140648
278928,AAA Batteries (4-pack),1,2.99,11/04/19 20:46,"380 Willow St, San Francisco, CA 94016",292069
278929,USB-C Charging Cable,1,11.95,11/23/19 18:52,"472 2nd St, San Francisco, CA 94016",154650
278930,AAA Batteries (4-pack),1,2.99,11/30/19 19:49,"352 11th St, San Francisco, CA 94016",172263
278931,ThinkPad Laptop,1,999.99,11/24/19 14:13,"493 Center St, Boston, MA 02215",33492
278932,AA Batteries (4-pack),2,3.84,11/26/19 13:47,"385 4th St, New York City, NY 10001",112601
278933,USB-C Charging Cable,1,11.95,11/17/19 11:28,"611 Lake St, San Francisco, CA 94016",222909
278934,USB-C Charging Cable,1,11.95,11/13/19 17:07,"187 Lakeview St, San Francisco, CA 94016",111276
278935,AAA Batteries (4-pack),2,2.99,11/13/19 21:04,"845 Jackson St, Seattle, WA 98101",225631
278936,AA Batteries (4-pack),3,3.84,11/04/19 20:12,"167 9th St, San Francisco, CA 94016",274627
278937,Wired Headphones,1,11.99,11/30/19 17:37,"968 South St, San Francisco, CA 94016",234248
